zip,2018-07
33334,309800
33351,201800
33403,196300
33407,162000.00
33408,298900
33410,336700
33411,265000.00
33412,382500
33413,296300
33414,354200
33415,138000.00
33418,341100
33426,216500
33428,269800
33431,394500
33433,287400
33435,
33436,252700
33442,110800
33444,316300
33445,164100
33449,411700
33458,348300
33460,177900
33461,177300
33462,200500
33463,214700
33467,245300
33470,338800
33472,312900
33473,506700
33477,379200
33478,440400
33483,575100
33484,134900
33486,364500
33487,419200
33496,299200
33498,406300
33510,185500
33511,191600
33534,180000.0
33541,156200
33542,117500
33543,
33544,272200
33545,234200
33549,227900
33556,368800
33558,328400
33559,225200
33563,150900
33565,246100
33566,209000.00
33569,229100
33570,199200
33572,265700
33573,
33578,182500
33584,186700
33594,196600
33596,267200
33598,269300
33602,
33603,189000.00
33604,
33607,159100
33610,113400
33612,124700
33614,167100
33615,192700
33616,224300
33617,136500
33618,230500
33619,121800
33624,218500
33625,234000.00
33629,484900
33634,174200
33635,267700
33637,178000.00
33647,
33701,467200
33702,185700
33703,244800
33704,367900
33706,406700
33707,195400
33710,191700
33713,193700
33715,289400
33755,195600
33756,189000.00
33761,174900
33764,220600
33767,485600
33770,195700
33771,182700
33772,207100
33773,178300
33774,218100
33776,278200
33777,184600
33778,180200
33782,172200
33785,442800
33801,120700
33803,145000.00
33809,189000.00
33810,183100
33811,182500
33812,228400
33813,216700
33823,173300
33860,157700
33880,134900
33884,175400
33897,202300
33904,218000.00
33905,169200
33907,128300
33908,247500
33909,186900
33912,269000.00
33914,283300
33916,130300
33917,174900
33919,166200
33928,278200
33931,403800
33936,119100
33957,754800
33966,175100
33967,229300
33971,174700
33972,172400
33974,163600
33976,170200
33990,218100
33991,232200
33993,197600
34134,418100
34202,374400
34203,237600
34205,157400
34209,216800
34210,186200
34211,340500
34212,308900
34219,264900
34221,227100
34222,262600
34228,543400
34231,232000.00
34232,222400
34233,245400
34234,149400
34235,200100
34237,
34238,317700
34239,248900
34240,448000.00
34241,314300
34242,579800
34243,270700
34275,310800
34285,227800
34286,201900
34287,168900
34288,211800
34292,278400
34293,218100
34604,168100
34606,128900
34608,149400
34609,163800
34613,159000.00
34638,252300
34639,229600
34653,125900
34654,178600
34655,230800
34667,160700
34668,114800
34677,243500
34683,265600
34684,188000.00
34685,311200
34689,228700
34690,93400
34691,115100
34695,269100
34698,230900
34711,250400
34714,215800
34715,264300
34731,157500
34736,217800
34741,148200
34743,191100
34744,221000.00
34747,238700
34758,191800
34759,168300
34761,237600
34769,180900
34771,272300
34772,239800
34786,405700
34787,341200
34788,158400
35007,167100
35022,177500
35040,148700
35068,137200
35071,163900
35080,198500
35124,185700
35127,144100
35173,238400
35209,302000.00
35210,148100
35226,253300
35242,311200
35244,277700
37013,220900
37015,154700
37027,560700
37037,
37055,158400
37062,262100
37064,433200
37066,251000.00
37067,469100
37069,450900
37072,234600
37075,287800
37076,242300
37083,116600
37086,200000
37115,164100
37127,239600
37128,246800
37129,231100
37135,414500
37138,223900
37148,176000.00
37167,222800
37179,340200
37188,219700
37203,398100
37204,591300
37205,569400
37206,356800
37207,216500
37209,311000.00
37210,221200
37211,256000.00
37214,228800
37215,560700
37216,286900
37217,184900
37221,281400
37341,166600
37343,189700
37363,255400
37377,338300
37379,168000.00
37412,128600
37415,165500
37416,127500
37421,187000.00
37757,137100
37801,181500
37803,188400
37804,153600
37849,171000.00
38002,255000.00
38004,194900
38011,164900
38016,178900
38017,347100
38018,161500
38053,113900
38058,164600
38060,192200
38103,258600
38104,184300
38108,37200
38116,77900
38117,169200
38119,181200
38120,279500
38125,165900
38127,32000.0
38128,72900
38134,129300
38135,168800
38138,291500
38139,413800
38141,100400
38401,166400
40014,308600
40031,250000.0
40059,423000.00
40065,174400
40204,230200
40205,294200
40206,179300
40207,298800
40215,67800
40216,122900
40217,173200
40218,139500
40219,140000.0
40220,195600
40222,267900
40228,164600
40229,150200
40241,279800
40242,231200
40243,227300
40245,328800
40258,134400
40272,123500
40291,195100
41005,178900
41017,182200
41018,122400
41042,145000.00
41048,208400
41051,175200
41091,254900
43004,202400
43015,223100
43016,266500
43017,357000.00
43026,219200
43035,325000.00
43054,370500
43065,315300
43068,163400
43081,214200
43082,329200
43085,244500
43103,176800
43110,175800
43113,151100
43123,177000.00
43125,157100
43138,131400
43140,167400
43201,298000.00
43202,254600
43207,103700
43209,258000.00
43214,283100
43221,305500
43224,96000.0
43228,123900
43229,151600
43230,205300
43231,142900
43232,111600
43235,239400
43528,
43537,156800
43551,211300
43560,188600
43611,87600
43613,90900
43615,121400
43616,123300
44001,168700
44011,287000.00
44012,223700
44017,134200
44022,347100
44039,198400
44044,168100
44053,138300
44054,125700
44057,132000.00
44060,154700
44067,167700
44070,151500
44077,124400
44087,185200
44089,134100
44094,177600
44107,173700
44109,74600
44111,93700
44116,215000.00
44118,135200
44121,82100
44124,139000.00
44126,172000.00
44129,115500
44130,128300
44131,198900
44134,109300
44135,87900
44136,201400
44137,52200
44138,167600
44139,280600
44140,239600
44142,119200
44143,168700
44146,93900
44147,229100
44149,207000.00
44202,247600
44203,78100
44212,185400
44221,125200
44223,126900
44224,170300
44236,365600
44240,138000.00
44241,157500
44256,213400
44278,170400
44281,167500
44319,
44333,224500
44425,84400
45005,127600
45011,192900
45013,123100
45014,152100
45036,209500
45042,112400
45050,178800
45056,191500
45066,241800
45067,151300
45069,226900
45255,201600
45322,119400
45371,196500
45373,172500
45420,73600
45439,
45459,219600
46011,116100
46032,
46033,378100
46037,315100
46038,219800
46060,205000.00
46062,301800
46064,172000.00
46113,168100
46123,198200
46151,142900
46158,192300
46234,172800
46303,176900
46304,214900
46307,211900
46311,224400
46321,233500
46322,173600
46342,145200
46356,176900
46368,171500
46383,209700
46385,213800
46410,134500
48009,426600
48015,87500
48017,189200
48021,77100
48025,
48026,136900
48033,114900
48035,122100
48036,158400
48038,174100
48042,296100
48043,96800
48044,291400
48047,199300
48051,197100
48066,94000.0
48067,253700
48071,125000.00
48072,211800
48073,227400
48076,186300
48080,137100
48081,151400
48082,147100
48083,237300
48085,274100
48088,163300
48092,158500
48093,142800
48098,351400
48101,127200
48122,61800
48124,136700
48126,123300
48127,139700
48128,174300
48134,194600
48135,122500
48146,70000
48150,172200
48152,188600
48154,222400
48167,254400
48168,426500
48170,268400
48180,89100
48183,154100
48185,140300
48187,265500
48188,278100
48192,114000.00
48195,115300
48220,
48236,256700
48237,
48301,441000.00
48304,316000.00
48306,382500
48307,
48309,278800
48310,208600
48312,194800
48313,
48315,311400
48316,261900
48317,189500
48322,284400
48324,282800
48326,174800
48327,158800
48328,148200
48329,184400
48331,298000.00
48334,203200
48335,272300
48336,183200
48346,217200
48348,347400
48360,260200
48362,
48371,256900
48374,485700
48375,224300
48377,236500
48382,276100
48383,259300
48386,
48390,210800
48393,263900
48442,190300
48462,245600
49058,
49301,338700
49315,261800
49316,252800
49321,178300
49341,254400
49345,183100
49401,212700
49417,220600
49418,195300
49426,242300
49428,193500
49464,215600
49503,173200
49505,151900
49506,
49508,181400
49509,138600
49512,206000.00
49519,156900
49525,208200
49546,329400
49548,119500
50021,221000.00
50131,256800
50211,189600
50263,252200
50265,192500
50266,238800
50310,154800
50312,201300
50313,110100
50315,115900
50316,83900
50317,109200
50320,
50322,196100
50323,322900
50325,262200
50327,
53005,307700
53012,314400
53022,247600
53024,297200
53045,343400
53051,276300
53066,310700
53072,299100
53074,220500
53090,205800
53092,377000.00
53095,204600
53132,250900
53144,164800
53151,258700
53172,146600
53188,219800
53189,306000.00
53202,279800
53207,175800
53209,85400
53211,303800
53213,234500
53214,136700
53217,369100
53219,137900
53220,167200
53221,148100
53222,145700
53223,144600
53225,120000.0
53226,225600
53227,145500
53562,292100
