Zip,Longitude,Latitude,MedianSalesPrice,QualifyingIncome,HousingAffordabilityIndex
2871,-71.264,41.585,344800,"$69,659.58",86.6155149144336
2878,-71.175,41.61,,$0.00,
2879,-71.53399999999999,41.443999999999996,360600,"$72,851.63",82.8203814267796
2882,-71.498,41.376999999999995,429200,"$86,710.82",69.5830138455189
2888,-71.411,41.747,228300,"$46,123.21",130.814846879092
2889,-71.49600000000001,41.68899999999999,,$0.00,
2891,-71.711,41.284,295800,"$59,760.16",100.963588717027
2893,-71.507,41.696999999999996,223200,"$45,092.86",133.803895799716
2895,-71.51899999999999,41.985,157500,"$31,819.56",189.619235190455
2896,-71.541,41.934,285000,"$57,578.25",104.789577342094
2904,-71.438,41.854,174500,"$35,254.05",171.146301103133
2908,-71.44,41.836999999999996,185000,"$37,375.35",161.432592121604
2909,-71.444,41.821000000000005,156600,"$31,637.73",190.709000909941
2910,-71.435,41.792,200500,"$40,506.80",148.952765797989
2911,-71.449,41.839,222000,"$44,850.42",134.527160101337
2914,-71.363,41.813,215800,"$43,597.84",138.392166554665
2915,-71.35,41.773999999999994,230200,"$46,507.06",129.735141366189
2916,-71.35600000000001,41.843,264700,"$53,477.06",112.825952181703
2917,-71.498,41.854,272800,"$55,113.49",109.475914745223
2919,-71.498,41.871,231000,"$46,668.68",129.28584217531
3038,-71.197,42.951,,$0.00,
3087,-71.234,42.891999999999996,417500,"$84,347.08",71.5330048922077
3801,-70.95100000000001,43.00899999999999,434800,"$87,842.18",68.6868204749234
3820,-70.992,43.297,265200,"$53,578.07",112.613233568992
3842,-70.95100000000001,42.917,326000,"$65,861.43",91.6105200690083
3867,-70.993,43.327,190200,"$38,425.90",157.019082768122
3878,-70.958,43.229,240000,"$48,486.94",124.437623093736
6001,-72.72800000000001,41.758,346500,"$70,003.02",86.190561450207
6002,-72.73899999999999,41.852,193800,"$39,153.21",154.102319620726
6010,-72.94,41.681000000000004,153500,"$31,011.44",194.560453045581
6029,-72.41199999999999,41.849,242200,"$48,931.41",123.307306120961
6033,-72.539,41.703,310500,"$62,729.98",96.183670024144
6037,-72.77,41.603,243900,"$49,274.86",122.447845602693
6040,-72.524,41.776,158100,"$31,940.77",188.8996175996
6053,-72.791,41.69,154000,"$31,112.46",193.928763262966
6062,-72.86,41.673,184600,"$37,294.54",161.782391887848
6067,-72.671,41.657,204800,"$41,375.53",145.825339562972
6070,-72.82,41.869,310100,"$62,649.17",96.3077379635495
6074,-72.565,41.833999999999996,235200,"$47,517.20",126.97716642218
6082,-72.558,41.985,179200,"$36,203.58",166.657530929111
6084,-72.361,41.883,227800,"$46,022.19",131.101973408677
6095,-72.805,41.91,205900,"$41,597.76",145.046282382208
6096,-72.66,41.934,166400,"$33,617.61",179.477341000581
6107,-72.758,41.753,365200,"$73,780.97",81.7771893277566
6109,-72.668,41.699,223400,"$45,133.26",133.684107173217
6111,-72.73,41.68600000000001,214300,"$43,294.80",139.360847141842
6117,-72.756,41.788999999999994,316300,"$63,901.75",94.4199479686902
6118,-72.61,41.748999999999995,147900,"$29,880.08",201.927177434055
6119,-72.726,41.763999999999996,280900,"$56,749.93",106.319079894969
6401,-73.07,41.343,176100,"$35,577.29",169.59130915671
6405,-72.796,41.285,255500,"$51,618.39",116.888569637952
6410,-72.972,41.46,336700,"$68,023.14",88.6992264404417
6437,-72.69,41.339,362100,"$73,154.68",82.4772978251773
6443,-72.788,41.35,410800,"$82,993.48",72.6996824306152
6450,-72.80199999999999,41.536,146400,"$29,577.04",203.996103432355
6457,-72.655,41.55,163100,"$32,950.92",183.108703510096
6460,-72.95100000000001,41.343999999999994,284900,"$57,558.04",104.826358520522
6468,-73.237,41.342,313200,"$63,275.46",95.3545004549703
6470,-73.311,41.396,384000,"$77,579.11",77.7735144335852
6473,-72.863,41.38399999999999,271800,"$54,911.46",109.878695888509
6475,-72.389,41.3,412900,"$83,417.75",72.3299335008397
6478,-73.138,41.433,350500,"$70,811.14",85.2069316476368
6484,-73.137,41.31399999999999,331100,"$66,891.78",90.1994247734724
6488,-73.241,41.471000000000004,218700,"$44,183.73",136.557062379958
6489,-72.872,41.605,260800,"$52,689.15",114.51315008626
6492,-72.811,41.456,233800,"$47,234.36",127.737508736085
6512,-72.866,41.291000000000004,175500,"$35,456.08",170.171108504255
6513,-72.865,41.306999999999995,130900,"$26,445.59",228.151486191724
6514,-72.939,41.373000000000005,172100,"$34,769.18",173.533001409045
6516,-72.94,41.272,169900,"$34,324.72",175.780044393742
6611,-73.207,41.26,383400,"$77,457.89",77.8952257237786
6614,-73.13,41.216,240700,"$48,628.36",124.075735531769
6615,-73.134,41.177,231300,"$46,729.29",129.118156258092
6704,-73.03399999999999,41.582,68800,"$13,899.59",434.084731722336
6708,-73.064,41.551,125600,"$25,374.83",237.778897631343
6770,-73.053,41.49100000000001,150400,"$30,385.15",198.570675149579
6801,-73.399,41.381,312300,"$63,093.64",95.6292972862527
6804,-73.27600000000001,41.405,304500,"$61,517.81",98.0789147536838
6810,-73.471,41.376000000000005,251800,"$50,870.88",118.606153862179
6811,-73.479,41.423,280100,"$56,588.30",106.622740244544
6820,-73.48100000000001,41.076,1317200,"$266,112.51",22.6731168710118
